Type,Sensorid,LocationGeneral,LocationArea,LocationSpecific,Description,Details
Setra Power Battalion 48,ELEUV0202SM2Ha,UVA,,203 Olsson,Projector,circuit 74
Setra Power Battalion 48,ELEUV0202SM2Gc,UVA,,218 Olsson,Copier,circuit 54
Setra Power Battalion 48,ELEUV0202SM2Gb,UVA,,218 Olsson,Receptacles,circuit 52
Setra Power Battalion 48,ELEUV0202SM2Ga,UVA,,260 Olsson,Receptacles,circuit 50
Setra Power Battalion 48,ELEUV0202SM2Fc,UVA,,247 Olsson,Receptacles,circuit 36
Setra Power Battalion 48,ELEUV0202SM2Fb,UVA,,251 Olsson,Receptacles,circuit 34
Setra Power Battalion 48,ELEUV0202SM2Fa,UVA,,259 Olsson,Office power,circuit 32
Setra Power Battalion 48,ELEUV0202SM2Ec,UVA,,283 Olsson,Office power,circuit 12
Setra Power Battalion 48,ELEUV0202SM2Eb,UVA,,286 Olsson,Office power,circuit 10
Setra Power Battalion 48,ELEUV0202SM2Ea,UVA,,285 Olsson,Office power,circuit 8
Setra Power Battalion 48,ELEUV0202SM2Dc,UVA,,200 Olsson,Floor Box,circuit 72
Setra Power Battalion 48,ELEUV0202SM2Db,UVA,,206 Olsson,Receptacles,circuit 70
Setra Power Battalion 48,ELEUV0202SM2Da,UVA,,208 Olsson,Microwave,circuit 68
Setra Power Battalion 48,ELEUV0202SM2Cc,UVA,,256 Olsson,Office power,circuit 48
Setra Power Battalion 48,ELEUV0202SM2Cb,UVA,,240 Olsson,Office furniture,circuit 46
Setra Power Battalion 48,ELEUV0202SM2Ca,UVA,,240 Olsson,Office furniture,circuit 44
Setra Power Battalion 48,ELEUV0202SM2Bc,UVA,,261 Olsson,Office power,circuit 30
Setra Power Battalion 48,ELEUV0202SM2Bb,UVA,,263 Olsson,Office power,circuit 28
Setra Power Battalion 48,ELEUV0202SM2Ba,UVA,,265 Olsson,Office power,circuit 26
Setra Power Battalion 48,ELEUV0202SM2Ac,UVA,,201 Olsson,Receptacles,circuit 6
Setra Power Battalion 48,ELEUV0202SM2Ab,UVA,,203 Olsson,Receptacles,circuit 4
Setra Power Battalion 48,ELEUV0202SM2Aa,UVA,,203 Olsson,Receptacles,circuit 2
Setra Power Battalion 48,ELEUV0202SM1Pc,UVA,,2nd Floor Olsson,Left Panel Phase C,circuit 2L-1
Setra Power Battalion 48,ELEUV0202SM1Pb,UVA,,2nd Floor Olsson,Left Panel Phase B,circuit 2L-1
Setra Power Battalion 48,ELEUV0202SM1Pa,UVA,,2nd Floor Olsson,Left Panel Phase A,circuit 2L-1
Setra Power Battalion 48,ELEUV0202SM1Oc,UVA,,208 Olsson,Refrigerator/Ice Maker,circuit 65
Setra Power Battalion 48,ELEUV0202SM1Ob,UVA,,211 Olsson,Receptacles,circuit 63
Setra Power Battalion 48,ELEUV0202SM1Oa,UVA,,211 Olsson,Receptacles,circuit 61
Setra Power Battalion 48,ELEUV0202SM1Mc,UVA,,273 Olsson,Office power,circuit 23
Setra Power Battalion 48,ELEUV0202SM1Mb,UVA,,270 Olsson,Office furniture,circuit 21
Setra Power Battalion 48,ELEUV0202SM1Ma,UVA,,270 Olsson,Office furniture,circuit 19
Setra Power Battalion 48,ELEUV0202SM1Lc,UVA,,213 Olsson,Office furniture,circuit 83
Setra Power Battalion 48,ELEUV0202SM1Lb,UVA,,213 Olsson,Office furniture,circuit 81
Setra Power Battalion 48,ELEUV0202SM1La,UVA,,213 Olsson,Office furniture,circuit 79
Setra Power Battalion 48,ELEUV0202SM1Kc,UVA,,213 Olsson,Office furniture,circuit 59
Setra Power Battalion 48,ELEUV0202SM1Kb,UVA,,213 Olsson,Office furniture,circuit 57
Setra Power Battalion 48,ELEUV0202SM1Ka,UVA,,219 Olsson,Receptacles,circuit 55
Setra Power Battalion 48,ELEUV0202SM1Jc,UVA,,240 Olsson,Office furniture,circuit 41
Setra Power Battalion 48,ELEUV0202SM1Jb,UVA,,241 Olsson,Office power,circuit 39
Setra Power Battalion 48,ELEUV0202SM1Ja,UVA,,245 Olsson,Office power,circuit 37
Setra Power Battalion 48,ELEUV0202SM1Ic,UVA,,270 Olsson,Office furniture,circuit 17
Setra Power Battalion 48,ELEUV0202SM1Ib,UVA,,277 Olsson,Office power,circuit 15
Setra Power Battalion 48,ELEUV0202SM1Ia,UVA,,281 Olsson,Office power,circuit 13
Setra Power Battalion 48,ELEUV0202SM1Hc,UVA,,213 Olsson,Office furniture,circuit 77
Setra Power Battalion 48,ELEUV0202SM1Hb,UVA,,203 Olsson,Projection Screen,circuit 75
Setra Power Battalion 48,ELEUV0202SM1Ha,UVA,,208 Olsson,Receptacles,circuit 73
Setra Power Battalion 48,ELEUV0202SM1Gc,UVA,,218 Olsson,Receptacles,circuit 53
Setra Power Battalion 48,ELEUV0202SM1Gb,UVA,,218 Olsson,Receptacles,circuit 51
Setra Power Battalion 48,ELEUV0202SM1Ga,UVA,,260 Olsson,Office power,circuit 49
Setra Power Battalion 48,ELEUV0202SM1Fc,UVA,,249 Olsson,Office power,circuit 35
Setra Power Battalion 48,ELEUV0202SM1Fb,UVA,,253 Olsson,Office power,circuit 33
Setra Power Battalion 48,ELEUV0202SM1Fa,UVA,,257 Olsson,Office power,circuit 31
Setra Power Battalion 48,ELEUV0202SM1Ec,UVA,,274 Olsson,Office power,circuit 11
Setra Power Battalion 48,ELEUV0202SM1Eb,UVA,,201 Olsson,Receptacles,circuit 9
Setra Power Battalion 48,ELEUV0202SM1Ea,UVA,,201 Olsson,Receptacles,circuit 7
Setra Power Battalion 48,ELEUV0202SM1Dc,UVA,,208 Olsson,Receptacles,circuit 71
Setra Power Battalion 48,ELEUV0202SM1Db,UVA,,208 Olsson,Receptacles,circuit 69
Setra Power Battalion 48,ELEUV0202SM1Da,UVA,,208 Olsson,Receptacles,circuit 67
Setra Power Battalion 48,ELEUV0202SM1Cc,UVA,,240 Olsson,Office furniture,circuit 47
Setra Power Battalion 48,ELEUV0202SM1Cb,UVA,,240 Olsson,Office furniture,circuit 45
Setra Power Battalion 48,ELEUV0202SM1Ca,UVA,,240 Olsson,Office furniture,circuit 43
Setra Power Battalion 48,ELEUV0202SM1Bc,UVA,,269 Olsson,Office power,circuit 29
Setra Power Battalion 48,ELEUV0202SM1Bb,UVA,,271 Olsson,Office power,circuit 27
Setra Power Battalion 48,ELEUV0202SM1Ba,UVA,,273 Olsson,Office power,circuit 25
Setra Power Battalion 48,ELEUV0202SM1Ac,UVA,,201 Olsson,Receptacles,circuit 5
Setra Power Battalion 48,ELEUV0202SM1Ab,UVA,,201 Olsson,Receptacles,circuit 3
Setra Power Battalion 48,ELEUV0202SM1Aa,UVA,,201 Olsson,Receptacles,circuit 1
Dominion 30 Minute Data,dominion-5171072548,Dunlora,,Home,,
Dominion 30 Minute Data,dominion-0213338585,852 St. Charles Ave,,Home,,
MiniBeacon,c2007d000398,UVA,,201 Olsson,,
MiniBeacon,c2007d000396,UVA,,C201 Olsson,"North, on Hardware Lab wall","4.68,16.88,1.1"
MiniBeacon,c2007d000392,UVA,,270 Olsson,271 <-> 273,"15.58,5.08,1.1"
MiniBeacon,c2007d000391,UVA,,217 Olsson,Outside east wall,"48.65,20.65,1.1"
MiniBeacon,c2007d00038e,UVA,,240 Olsson,249 <-> 251,"52.45,3.14,1.1"
MiniBeacon,c2007d00038c,UVA,,C260 Olsson,267 <-> 269,"22.12,5.08,1.1"
MiniBeacon,c2007d00038a,UVA,,203 Olsson,,"12.65,22.63,1.1"
MiniBeacon,c2007d000370,UVA,,221 Olsson,close to NE10 whiteboard,"39.98,24.37,1.1"
MiniBeacon,c2007d00036f,UVA,,240 Olsson,SE-7 wall,"43.09,13.46,1.1"
MiniBeacon,c2007d00036e,UVA,,218 Olsson,Outside,"49.89,16.88,1.1"
MiniBeacon,c2007d00036a,UVA,,Olsson 225,South wall,"54.63,18.88,1.1"
MiniBeacon,c2007d0000a0,UVA,,251 Olsson,,"49.85,0.41,1.1"
MiniBeacon,c2007d00009f,UVA,,286 Olsson,,"7.79,9.97,1.1"
MiniBeacon,c2007d00009e,UVA,,201 Olsson,West wall,"1.5,23.2,1.1"
MiniBeacon,c2007d00009d,UVA,,240 Olsson,243 <-> 245,"56.41,7.64,1.1"
MiniBeacon,c2007d00009c,UVA,,Olsson 274,opp. SW-5,"13.59,10.01,1.1"
MiniBeacon,c2007d00009b,UVA,,208 Olsson,,"17.73,14.54,1.1"
MiniBeacon,c2007d00009a,UVA,,C201 Olsson,"East, visitor side","8.05,16.06,1.1"
MiniBeacon,c2007d000099,UVA,,240 Olsson,253 <-> 255,"44.95,5.08,1.1"
MiniBeacon,c2007d000098,UVA,,C260 Olsson,259 <-> 261,"35.13,5.08,1.1"
MiniBeacon,c2007d000097,UVA,,C260 Olsson,opp 263,"30.66,7.11,1.1"
MiniBeacon,c2007d000096,UVA,,203 Olsson,,"13.0,26.87,1.1"
MiniBeacon,c2007d000095,UVA,,201 Olsson,,"12.54,23.69,1.1"
MiniBeacon,c2007d000094,UVA,,203 Olsson,,"28.63,28.86,1.1"
MiniBeacon,c2007d000093,UVA,,241 Olsson,,"60.11,13.09,1.1"
MiniBeacon,c2007d000092,UVA,,201 Olsson,,"1.63,30.4,1.1"
MiniBeacon,c2007d000091,UVA,,201 Olsson,,"8.46,30.39,1.1"
MiniBeacon,c2007d000090,UVA,,203 Olsson,,
MiniBeacon,c2007d00008f,UVA,,203 Olsson,,"31.45,24.16,1.1"
MiniBeacon,c2007d00008e,UVA,,203 Olsson,,"31.49,18.98,1.1"
MiniBeacon,c2007d00008d,UVA,,217 Olsson,Outside,"43.12,18.71,1.1"
MiniBeacon,c2007d000078,UVA,,221 Olsson,opp NE2,"31.71,26.85,1.1"
MiniBeacon,c2007d000077,UVA,,221 Olsson,NE 11 <-> NE 13,"41.68,28.86,1.1"
MiniBeacon,c2007d000076,UVA,,221 Olsson,NE22 <-> NE25,"48.7,28.83,1.1"
MiniBeacon,c2007d000075,UVA,,221 Olsson,behind 217 (close to NE15),"43.35,22.65,1.1"
MiniBeacon,c2007d000074,UVA,,221 Olsson,East wall,"60.11,20.25,1.1"
MiniBeacon,c2007d000072,UVA,,221 Olsson,East wall,"60.11,26.8,1.1"
MiniBeacon,c2007d000071,UVA,,Olsson 217,East wall,"48.46,19.33,1.1"
MiniBeacon,c2007d00006f,UVA,,221 Olsson,East wall,"60.11,23.49,1.1"
MiniBeacon,c2007d00006e,UVA,,Olsson 225,North wall,"54.36,22.48,1.1"
MiniBeacon,c2007d00006d,UVA,,240 Olsson,SE23 wall,"52.18,13.46,1.1"
MiniBeacon,c2007d00006b,UVA,,240 Olsson,SE5 <-> SE1,"37.8,10.21,1.1"
MiniBeacon,c2007d00006a,UVA,,Olsson 211,North wall,"33.79,24.2,1.1"
MiniBeacon,c2007d000069,UVA,,225 Olsson,Outside,"57.51,18.71,1.1"
MiniBeacon,c2007d000068,UVA,,225 Olsson,Outside west wall,"52.11,22.56,1.1"
MiniBeacon,c2007d000067,UVA,,221 Olsson,NE37 <-> NE42,"55.84,30.42,1.1"
MiniBeacon,c2007d000065,UVA,,Olsson 217,North wall,"45.3,22.48,1.1"
MiniBeacon,c2007d000064,UVA,,260 Olsson,260 wall,"37.7,6.62,1.1"
MiniBeacon,c2007d000063,UVA,,269 Olsson,,"19.29,1.97,1.1"
MiniBeacon,c2007d000062,UVA,,203 Olsson,,"22.13,28.86,1.1"
MiniBeacon,c2007d000061,UVA,,270 Olsson,SW-12 wall,"15.95,13.48,1.1"
MiniBeacon,c2007d000060,UVA,,201 Olsson,,"1.46,16.99,1.1"
MiniBeacon,c2007d00005f,UVA,,Olsson 276,,"5.2,10.13,1.1"
MiniBeacon,c2007d00005c,UVA,,208 Olsson,,"19.89,13.98,1.1"
MiniBeacon,c2007d00005a,UVA,,211 Olsson,Outside,"40.15,18.81,1.1"
MiniBeacon,c2007d000059,UVA,,276 Olsson,275 <-> 277,"8.54,3.54,1.1"
MiniBeacon,c2007d000052,UVA,,276 Olsson,281 <-> 283,"3.72,6.71,1.1"
Gateway,c098e5c0003b,UVA,,204 Olsson,Edison v3 Gateway,In ceiling in arena.
Gateway,c098e5c00038,UVA,,240 Olsson,Edison v3 Gateway,Corner of Kay's desk by walkway to main middle hallway.
Gateway,c098e5c00036,UVA,,422 Rice,Edison v3 Gateway,
Gateway,c098e5c00034,UVA,,257 Olsson,Edison v3 Gateway,
Gateway,c098e5c00016,UVA,,303 Rice,Edison v2 Gateway,
Gateway,c098e5c00006,UVA,,022 Rice,Edison v2 Gateway,In last server rack.
Gateway,c098e5c00005,UVA,,221 Olsson,Edison v2 Gateway,
PowerBlade,c098e570024a,UVA,,422 Rice,Printer,
PowerBlade,c098e5700249,UVA,,422 Rice,Laptop,
PowerBlade,c098e5700247,UVA,,022 Rice,Bitcoin Miner ASIC,
PowerBlade,c098e5700246,UVA,,218 Olsson,Color printer,
PowerBlade,c098e5700245,UVA,,241 Olsson,Oscilloscope,
PowerBlade,c098e5700244,UVA,,241 Olsson,Black and white printer,
PowerBlade,c098e5700241,UVA,,241 Olsson,Edimax Smart Plug,
PowerBlade,c098e570015c,UVA,,241 Olsson,Mac Charger,
PowerBlade,c098e570015b,UVA,,241 Olsson,WiTenergy,
PowerBlade,c098e570015a,UVA,,257 Olsson,Laptop,
PowerBlade,c098e5700159,UVA,,257 Olsson,Laptop Docking Station,
PowerBlade,c098e5700158,UVA,,422 Rice,Monitor,
PowerBlade,c098e5700157,UVA,,257 Olsson,Coffee Maker,
PowerBlade,c098e5700156,UVA,,257 Olsson,Monitor,
PowerBlade,c098e5700155,UVA,,257 Olsson,Printer,
﻿PowerBlade,c098e5700149,UVA,,241 Olsson,Desktop,
PowerBlade,c098e5700148,UVA,,241 Olsson,Monitor,
PowerBlade,c098e5700146,852 St. Charles Ave,,Living Room,Home Theater PC,Bunjee Box
PowerBlade,c098e57000a9,UVA,,251 Olsson,TV,
PowerBlade,c098e570002f,852 St. Charles Ave,,Living Room,TV,
Awair Sensor,awair-8884,852 St. Charles Ave,,Upstairs hallway,East wall,
Awair Sensor,awair-8532,UVA,,257 Olsson,Under desk,
Awair Sensor,awair-8198,UVA,,101b Olsson,In office,
Awair Sensor,awair-7849,UVA,,241 Olsson,Under desk,
Awair Sensor,awair-4019,UVA,,201 Olsson,By sink,
Awair Sensor,awair-3509,UVA,,221 Olsson,NE 7,
Awair Sensor,awair-3460,UVA,,Outside 274 Olsson,On north wall,
Awair Sensor,awair-3446,UVA,,208 Olsson,In kitchenette left of sink,
Awair Sensor,awair-3390,UVA,,240 Olsson,On north wall,
Awair Sensor,awair-3358,UVA,,221 Olsson,NE corner,
Awair Sensor,awair-3301,UVA,,201 Olsson,On cabinet,
Awair Sensor,awair-3284,UVA,,Outside 269 Olsson,on east wall,
Awair Sensor,awair-3242,UVA,,203 Olsson,North side of the arena,
Awair Sensor,awair-3011,UVA,,Outside 217 Olsson,On north wall,
Awair Sensor,awair-2992,UVA,,Outside 256 Olsson,On west wall,
LoRaWAN Gateway,9CD57DFFFED203D0,UVA,,Aerospace Research Laboratory,Cisco IXM-LPWA-900-16-K9,dqb0mhmeh
