Type,Sensorid,LocationGeneral,LocationArea,LocationSpecific,Description,Details
Door Sensor,05920ca5,UVA,,221 Olsson,Door between 221 and arena,
"EMCSU-contact
",05920c9b,"HO
",,,,
"EMCSU-contact
",0591fe4c,HO,,,,
Door Sensor,0591ef8f,UVA,,C210 Olsson,On door from elevators to Link Lab,
"EMCSU-contact
",0591ef6d,"HO
",,,,
"EMCSU-contact
",0591ef61,"HO
",,,,
Door Sensor,0591ef5d,UVA,,203 Olsson,On door front entrance to arena,
"EMCSU-contact
",0591ef57,"HO
",,,,
Door Sensor,0591ef54,UVA,,256 Olsson,Door to office,
"EMCSU-contact
",0591ef51,"HO
",,,,
Door Sensor,0591ef47,UVA,,C230 Olsson,On door to stairwell from Link Lab,
"EMCSU-contact
",0591ef25,"HO
",,,,
"EMCSU-contact
",0591ef24,"HO
",,,,
"EMCSU-contact
",0591ef10,"HO
",,,,
EMCSU-contact,0591eee6,prep zone,,,,
Dual Tech Motion Sensor,0583cec6,UVA,,281 Olsson,On ceiling,
Dual Tech Motion Sensor,0580d976,UVA,,275 Olsson,On ceiling,
Dual Motion,0580b1cd,UVA,,283 Olsson,On ceiling,
Dual Tech Motion Sensor,0580b1c1,UVA,,255 Olsson,On ceiling,
Dual Tech Motion Sensor,0580b1ae,UVA,,265 Olsson,On ceiling,
Dual Tech Motion Sensor,0512871d,UVA,,269 Olsson,On ceiling,
Dual Tech Motion Sensor,051087b1,UVA,,263 Olsson,On ceiling,
Dual Tech Motion Sensor,050d95a0,UVA,,303 Rice,Ceiling,
Dual Tech Motion Sensor,050d8c55,UVA,,273 Olsson,On ceiling,
Dual Tech Motion Sensor,050d856f,UVA,,304 Rice,Ceiling,
Dual Tech Motion Sensor,050d7b30,UVA,,277 Olsson,On ceiling,
Dual Motion,050d7773,UVA,,245 Olsson,On ceiling,
Dual Tech Motion Sensor,050d69ce,UVA,,241 Olsson,Ceiling,
Dual Tech Motion Sensor,050d6990,UVA,,225 Olsson,On lights near ceiling,
Dual Tech Motion Sensor,050d68bf,UVA,,217 Olsson,On lights near ceiling,
Dual Tech Motion Sensor,050d5e42,UVA,,257 Olsson,On ceiling,
Dual Tech Motion Sensor,05083a3c,UVA,,211 Olsson,On lights near ceiling,
LightLevel,0506ed3a,UVA,,257 Olsson,,
LightLevel,0506ebe7,UVA,,201 Olsson,West side,
LightLevel,0506dac8,UVA,,285 Olsson,,
LightLevel,0506da67,UVA,,267 Olsson,,
LightLevel,0506da3f,UVA,,203 Olsson,Near whiteboard,
LightLevel,0506d2de,UVA,,255 Olsson,,
LightLevel,0506d2cd,UVA,,201 Olsson,North side,
LightLevel,0506d2af,UVA,,221 Olsson,Student Seating Area (near back wall),
LightLevel,5062500,prep,,,,
LightLevel,050624f0,UVA,,283 Olsson,,
LightLevel,050624d8,UVA,,279 Olsson,,
LightLevel,050623c9,UVA,,249 Olsson,,
LightLevel,5062343,UVA,,C211 Olsson,On ceiling outside 225 Olsson (hall near back wall),
LightLevel,0506221e,UVA,,221 Olsson,Student Seating Area (back corner),
LightLevel,0506220c,prep,,,,
LightLevel,5062206,UVA,,225 Olsson,On ceiling,
LightLevel,050621d0,prep,,,,
LightLevel,050621c6,UVA,,217 Olsson,,
LightLevel,050621b7,prep,,,,
LightLevel,050621a8,UVA,,241 Olsson,Ceiling,
LightLevel,050621a5,UVA,,221 Olsson,Student Seating Area (near 217 Olsson),
"LightLevel
",05061ccc,UVA,,203 Olsson,Near north windows by 201 Olsson,
LightLevel,050611d1,UVA,,221 Olsson,Student Seating Area (near 211 Olsson),
LightLevel,050611bc,UVA,,Testing Sensor,On Table,
LightLevel,050611b5,prep,,,,
LightLevel,050611b2,prep,,,,
LightLevel,0506118e,UVA,,261 Olsson,,
LightLevel,5061167,UVA,,245 Olsson,On ceiling,
LightLevel,5061162,UVA,,275 Olsson,On ceiling,
LightLevel,0506115f,UVA,,265 Olsson,,
LightLevel,050610a6,UVA,,273 Olsson,,
LightLevel,050610a1,prep,,,,
LightLevel,0506109d,UVA,,251 Olsson,,
LightLevel,05060eba,UVA,,271 Olsson,,
LightLevel,05060eb7,UVA,,C211 Olsson,Outside 225 Olsson (towards corner),
LightLevel,05060ead,UVA,,269 Olsson,,
LightLevel,05060e9a,UVA,,253 Olsson,,
LightLevel,5.06E+73,UVA,,243 Olsson,On ceiling,
LightLevel,5.06E+73,UVA,,243 Olsson,On Ceiling,
LightLevel,5.06E+49,prep,,,,
Ceiling Facing Dark Corner,5.06E+44,UVA,,259 Olsson,,
LightLevel,05060de0,prep,,,,
LightLevel,05060dd8,UVA,,218 Olsson,,
LightLevel,05060dc2,UVA,,263 Olsson,On ceiling,
LightLevel,05060cd9,UVA,,203 Olsson,Middle on ceiling,
LightLevel,05060ca0,UVA,,211 Olsson,On Ceiling,
STM 550U,0413d730,ALAN,,position_5,,
STM 550U,0413d711,ALAN,,test,,
HVAC Zone,0202Floors2C213,UVA,,C213 Olsson,HVAC Zone,
HVAC Zone,0202Floors2C210,UVA,,C210 Olsson,HVAC Zone,
HVAC Zone,0202Floors2C200,UVA,,C200 Olsson,HVAC Zone,
HVAC Zone,0202Floors2286,UVA,,286 Olsson,HVAC Zone,
HVAC Zone,0202Floors2285,UVA,,285 Olsson,HVAC Zone,
HVAC Zone,0202Floors2283,UVA,,283 Olsson,HVAC Zone,
HVAC Zone,0202Floors2281,UVA,,281 Olsson,HVAC Zone,
HVAC Zone,0202Floors2279,UVA,,279 Olsson,HVAC Zone,
HVAC Zone,0202Floors2277,UVA,,277 Olsson,HVAC Zone,
HVAC Zone,0202Floors2276,UVA,,276 Olsson,HVAC Zone,
HVAC Zone,0202Floors2275,UVA,,275 Olsson,HVAC Zone,
HVAC Zone,0202Floors2274,UVA,,274 Olsson,HVAC Zone,
HVAC Zone,0202Floors2273,UVA,,273 Olsson,HVAC Zone,
HVAC Zone,0202Floors2271,UVA,,271 Olsson,HVAC Zone,
HVAC Zone,0202Floors2270,UVA,,270 Olsson,HVAC Zone,
HVAC Zone,0202Floors2269,UVA,,269 Olsson,HVAC Zone,
HVAC Zone,0202Floors2267,UVA,,267 Olsson,HVAC Zone,
HVAC Zone,0202Floors2265,UVA,,265 Olsson,HVAC Zone,
HVAC Zone,0202Floors2263,UVA,,263 Olsson,HVAC Zone,
HVAC Zone,0202Floors2261,UVA,,261 Olsson,HVAC Zone,
HVAC Zone,0202Floors2260,UVA,,260 Olsson,HVAC Zone,
HVAC Zone,0202Floors2259,UVA,,259 Olsson,HVAC Zone,
HVAC Zone,0202Floors2257,UVA,,257 Olsson,HVAC Zone,
HVAC Zone,0202Floors2256,UVA,,256 Olsson,HVAC Zone,
HVAC Zone,0202Floors2255,UVA,,255 Olsson,HVAC Zone,
HVAC Zone,0202Floors2253,UVA,,253 Olsson,HVAC Zone,
HVAC Zone,0202Floors2251,UVA,,251 Olsson,HVAC Zone,
HVAC Zone,0202Floors2249,UVA,,249 Olsson,HVAC Zone,
HVAC Zone,0202Floors2247,UVA,,247 Olsson,HVAC Zone,
HVAC Zone,0202Floors2245,UVA,,245 Olsson,HVAC Zone,
HVAC Zone,0202Floors2243,UVA,,243 Olsson,HVAC Zone,
HVAC Zone,0202Floors2241,UVA,,241 Olsson,HVAC Zone,
HVAC Zone,0202Floors22402,UVA,,240 Olsson,HVAC Zone 2,
HVAC Zone,0202Floors22401,UVA,,240 Olsson,HVAC Zone 1,
HVAC Zone,0202Floors2231,UVA,,231 Olsson,HVAC Zone,
HVAC Zone,0202Floors2225,UVA,,225 Olsson,HVAC Zone,
HVAC Zone,0202Floors2221,UVA,,221 Olsson,HVAC Zone,
HVAC Zone,0202Floors2218,UVA,,218 Olsson,HVAC Zone,
HVAC Zone,0202Floors2217,UVA,,217 Olsson,HVAC Zone,
HVAC Zone,0202Floors2213,UVA,,213 Olsson,HVAC Zone,
HVAC Zone,0202Floors2211,UVA,,211 Olsson,HVAC Zone,
HVAC Zone,0202Floors2208,UVA,,208 Olsson,HVAC Zone,
HVAC Zone,0202Floors2204,UVA,,204 Olsson,HVAC Zone,
HVAC Zone,0202Floors22033,UVA,,203 Olsson,HVAC Zone 3,
HVAC Zone,0202Floors22032,UVA,,203 Olsson,HVAC Zone 2,
HVAC Zone,0202Floors22031,UVA,,203 Olsson,HVAC Zone 1,
HVAC Zone,0202Floors22012,UVA,,201 Olsson,HVAC Zone 2,
HVAC Zone,0202Floors22011,UVA,,201 Olsson,HVAC Zone 1,
HVAC Equipment,0202EquipmentAHU2W,UVA,,2nd Floor Olsson,Air Handling Unit,
HVAC Equipment,0202EquipmentAHU2E,UVA,,2nd Floor Olsson,Air Handling Unit,
LightLevel,019944b5,prep,,,,
Dual Tech Motion Sensor,0197303a,UVA,,251 Olsson,On ceiling,
CO2 Sensor,01939f0a,UVA,,257 Olsson,South wall,
CO2 Sensor,01932c37,UVA,,422 Rice,West wall,
Temp Humidity Sensor,018a47e0,UVA,,275 Olsson,Near door,TH-41
Temp Humidity Sensor,018a4759,UVA,,283 Olsson,Near door,TH-40
Temp Humidity Sensor,018a4741,UVA,,265 Olsson,Near door,TH-39
TempHumidity,018a4677,prep,,,,
Temp Humidity Sensor,018a461f,UVA,,263 Olsson,Near door,TH-38
Temp Humidity Sensor,018a4519,UVA,,304 Rice,West wall,
